,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
9,an010,202010_cfos,habituation,0.04414680093501267,0.14892148063399382,0.039708449634575746,0.21803154188324178,0.17134994920553512,0.043061870617128094,0.1083253607393307,0.1134837112507274,0.03747941098146742,0.008837250589314423,0.02120545621319867,0.04544871731647417
0,an1,201904_ymaze_cfos,CNO_control_no_reversal,0.07957567358865622,0.40706253639572615,0.023682257640642346,0.1610280063303962,0.08039302174539721,0.03116110904651591,0.03799163896828898,0.055452325795438365,0.03700294870503572,0.005405380373687873,0.03536477924074608,0.04588032216946892
1,an2,201904_ymaze_cfos,CNO_control_no_reversal,0.10574232018137576,0.3115132917542126,0.03464534560221903,0.16270668449419914,0.11377301454161926,0.02720844094906696,0.059088304418958085,0.045333560329864714,0.03857141670749836,0.006591896223829653,0.03971331999036649,0.055112404806789965
2,an3,201904_ymaze_cfos,CNO_control_no_reversal,0.10927329358590977,0.4692739774571182,0.025015697952738284,0.14029617840334724,0.06325342401880024,0.018105490242401257,0.038846993142636885,0.030786638399990053,0.029821447444497634,0.0037737256681732558,0.0317331783225261,0.03981995536186112
3,an4,201904_ymaze_cfos,CNO_control_no_reversal,0.06077900226135001,0.3813626572950913,0.04035525271630499,0.14906711853889343,0.10260801078765386,0.0317215496512509,0.05363098825171988,0.04983024958382806,0.03684687856132793,0.00756567759950835,0.03298050704359811,0.05325210770947321
4,an5,201904_ymaze_cfos,CNO_control_no_reversal,0.08449413991764537,0.4055686253026923,0.02287729891441632,0.10824692590417119,0.15191780363322063,0.039251849124056416,0.05598146361554857,0.04963088531728037,0.029483523495618,0.006048266424005592,0.015721231931032312,0.030777986420312924
5,an6,201904_ymaze_cfos,CNO_control_no_reversal,0.06033169503620022,0.37671279555494974,0.023107205567537665,0.1768118149820001,0.09966485732382961,0.0359777266422392,0.056493188906617066,0.05090680948982946,0.0356730514820843,0.007544719097520105,0.026182019354890437,0.05059411656230206
6,an7,201904_ymaze_cfos,CNO_control_no_reversal,0.04519643304184184,0.3800554207922929,0.026258405918457194,0.17577368979894856,0.1012007838330125,0.04548993879541786,0.054117281446120116,0.060842016211876626,0.03139303010160478,0.007444687114234166,0.03036403345965591,0.04186427948653758
7,an8,201904_ymaze_cfos,CNO_control_no_reversal,0.10708432765015381,0.339835925744899,0.027979835734069366,0.1417248881094084,0.1288682518233135,0.02326461765523322,0.06540448329068553,0.0420871548642458,0.022066645582358185,0.006195911560909692,0.03586728386187861,0.05962067412284485
0,an10,201904_ymaze_cfos,CNO_control_reversal,0.13064397407586936,0.2944142235627128,0.024945692177878315,0.16405151313860314,0.09647642472008282,0.053215681346235555,0.05429884562216118,0.05760219744708354,0.036336870074145884,0.004984949402464348,0.04188135461362154,0.04114827381914149
