,brain,batch,condition,Telencephalon,Diencephalon,Mesencephalon,Metencephalon(no_cerebellum)
6,an26,201904_ymaze_cfos,lobVI_reversal,0.6198942458074082,0.11299178746250872,0.19187073885755682,0.07524322787252626
7,an27,201904_ymaze_cfos,lobVI_reversal,0.7194459412576676,0.0844485617060226,0.11638112391399025,0.07972437312231957
8,an28,201904_ymaze_cfos,lobVI_reversal,0.7366956083480333,0.0678082976335021,0.11691828365902271,0.07857781035944193
0,an19,201908_tpham_ymaze_cfos,CNO_control_reversal,0.6337942746239689,0.19759825327510916,0.10528869480834546,0.06331877729257641
1,an20,201908_tpham_ymaze_cfos,CNO_control_reversal,0.6050273768043803,0.17496266799402688,0.14522150323544053,0.07478845196615232
2,an21,201908_tpham_ymaze_cfos,CNO_control_reversal,0.7053923717667689,0.13388864533099518,0.09224024550635686,0.068478737395879
3,an22,201908_tpham_ymaze_cfos,CNO_control_reversal,0.6624555469896297,0.11171072592076794,0.1308597150033573,0.09497401208624506
4,an23,201908_tpham_ymaze_cfos,CNO_control_reversal,0.6609563389470124,0.10583033319641433,0.12967840143040085,0.10353492642617247
5,an24,201908_tpham_ymaze_cfos,CNO_control_reversal,0.6563105250590326,0.10440158127935051,0.14496829481839166,0.09431959884322517
6,an25,201908_tpham_ymaze_cfos,CNO_control_reversal,0.6447164124577587,0.0984869242244345,0.15188601698785278,0.10491064632995403
0,an10,201908_tpham_ymaze_cfos,CNOnCrusILT,0.4994222735756822,0.234645809261399,0.13572126922051372,0.1302106479424051
1,an11,201908_tpham_ymaze_cfos,CNOnCrusILT,0.6486191463813994,0.15347669468398648,0.12591420150638577,0.07198995742822836
2,an12,201908_tpham_ymaze_cfos,CNOnCrusILT,0.5680327868852458,0.21159250585480094,0.1319672131147541,0.08840749414519906
3,an13,201908_tpham_ymaze_cfos,CNOnCrusILT,0.6736214605067065,0.1607408984458165,0.10907671563409269,0.05656092541338443
4,an14,201908_tpham_ymaze_cfos,CNOnCrusILT,0.7217296324852224,0.1553585196607556,0.09059367771781034,0.03231817013621177
5,an16,201908_tpham_ymaze_cfos,CNOnCrusILT,0.7488756097045968,0.08061825629764142,0.11022192191558099,0.06028421208218079
6,an17,201908_tpham_ymaze_cfos,CNOnCrusILT,0.6853732974992028,0.10483760761627113,0.1234227668200246,0.08636632806450144
7,an18,201908_tpham_ymaze_cfos,CNOnCrusILT,0.7170023031949448,0.08781668930490757,0.10996279454319967,0.08521821295694797
0,an01,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.6473280695731777,0.21856047602700537,0.08444902162718847,0.04966243277262845
1,an02,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.7016623898248354,0.13723083788909962,0.10108222693294656,0.06002454535311837
2,an03,201908_tpham_ymaze_cfos,CNOnCrusIRT,0.6918062268180285,0.17466561762391816,0.06979880858716421,0.06372934697088907
