control,treatment,region,Estimate,Std. Error,z value,Pr(>|z|),fdr_adj_pval,status
control,demonstrator,Periventricular zone,0.01808350551318959,0.36995423691607987,0.04888038494688639,0.9610146207186213,0.9979519911483261,success
control,demonstrator,Piriform area,0.11308078663255612,0.3895878173296171,0.29025750190972294,0.7716192484947642,0.9979519911483261,success
control,demonstrator,Piriform-amygdalar area,0.19442073886592465,0.5944831074032522,0.32704165424509596,0.7436363803912315,0.9979519911483261,success
control,demonstrator,Pons,-0.1376067068995602,0.3027764169835649,-0.4544829094368657,0.6494812901451337,0.9979519911483261,success
control,demonstrator,"Pons, behavioral state related",-0.1914492726005831,0.35947514577200623,-0.5325799985126315,0.5943243508089826,0.9979519911483261,success
control,demonstrator,"Pons, motor related",-0.21263711163985838,0.3673316354054784,-0.5788695858039541,0.5626771735787984,0.9979519911483261,success
control,demonstrator,"Pons, sensory related",-0.07664097766104926,0.26173514737755454,-0.2928188224965223,0.7696606402791486,0.9979519911483261,success
control,demonstrator,Pontine central gray,0.0016410921818390298,0.394264661473177,0.004162412567504933,0.9966788848667942,0.998781456512494,success
control,demonstrator,Pontine gray,-0.5622928584247263,0.5736264614030075,-0.9802421894022098,0.3269665835567199,0.9732364713680491,success
control,demonstrator,Pontine reticular nucleus,-0.2612070203901979,0.3653770839237126,-0.7148971073531681,0.47467262456118675,0.9979519911483261,success
control,demonstrator,"Pontine reticular nucleus, caudal part",-0.24336295054805238,0.4576411516137167,-0.5317768074175918,0.5948805877541371,0.9979519911483261,success
control,demonstrator,Posterior amygdalar nucleus,0.12722896978097842,0.4326688300154537,0.2940562410664853,0.7687149278972767,0.9979519911483261,success
control,demonstrator,Posterior auditory area,0.08323746755008576,0.0870999020658526,0.9556551221739996,0.33924650272603607,0.980477439590561,success
control,demonstrator,"Posterior auditory area, layer 1",0.5091027153872807,0.23277762634843704,2.1870775270524576,0.028736864887887424,0.4468875723381677,success
control,demonstrator,"Posterior auditory area, layer 2/3",0.12103829484951813,0.1226037748671471,0.9872313881091727,0.3235292176186775,0.9677179991997528,success
