,brain,batch,condition,Anterior amygdalar area,Basolateral amygdalar nucleus,Central amygdalar nucleus,Cortical amygdalar area,Intercalated amygdalar nucleus,Lateral amygdalar nucleus,Posterior amygdalar nucleus,Somatomotor areas,Somatosensory areas,Gustatory areas,Visceral area,Auditory areas,Visual areas,Anterior cingulate area,Prelimbic area,Infralimbic area,Orbital area,Retrosplenial area,Posterior parietal association areas,Temporal association areas,Perirhinal area,Ectorhinal area,Hippocampal region,Retrohippocampal region,Endopiriform nucleus,Caudoputamen,Nucleus accumbens,Fundus of striatum,Lateral septal nucleus,Septofimbrial nucleus,Septohippocampal nucleus,Pallidum,Ventral anterior-lateral complex of the thalamus,Ventral medial nucleus of the thalamus,Ventral posterolateral nucleus of the thalamus,"""Ventral posterolateral nucleus of the thalamus, parvicellular part""",Ventral posteromedial nucleus of the thalamus,"""Ventral posteromedial nucleus of the thalamus, parvicellular part""",Posterior triangular thalamic nucleus,Subparafascicular nucleus,Subparafascicular area,Lateral posterior nucleus of the thalamus,Posterior complex of the thalamus,Anteroventral nucleus of thalamus,Anteromedial nucleus,Anterodorsal nucleus,Interanteromedial nucleus of the thalamus,Interanterodorsal nucleus of the thalamus,Lateral dorsal nucleus of thalamus,Intermediodorsal nucleus of the thalamus,Submedial nucleus of the thalamus,Parataenial nucleus,Paraventricular nucleus of the thalamus,Nucleus of reuniens,Rhomboid nucleus,Central medial nucleus of the thalamus,Paracentral nucleus,Central lateral nucleus of the thalamus,Parafascicular nucleus,Reticular nucleus of the thalamus,Medial habenula,Lateral habenula,Arcuate hypothalamic nucleus,Anterodorsal preoptic nucleus,Anteroventral preoptic nucleus,Anteroventral periventricular nucleus,Medial preoptic area,Posterodorsal preoptic nucleus,Parastrial nucleus,"""Periventricular hypothalamic nucleus, posterior part""","""Periventricular hypothalamic nucleus, preoptic part""",Subparaventricular zone,Suprachiasmatic nucleus,Ventrolateral preoptic nucleus,Mammillary body,Median preoptic nucleus,Dorsal premammillary nucleus,Ventral premammillary nucleus,Lateral hypothalamic area,Lateral preoptic area,Retrochiasmatic area,Subthalamic nucleus,Tuberal nucleus,Zona incerta,Median eminence,"""Superior colliculus, sensory related""",Nucleus of the brachium of the inferior colliculus,Nucleus sagulum,Parabigeminal nucleus,"""Substantia nigra, reticular part""",Ventral tegmental area,"""Midbrain reticular nucleus, retrorubral area""","""Superior colliculus, motor related""",Periaqueductal gray,Pretectal region,Cuneiform nucleus,Red nucleus,Oculomotor nucleus,Paratrochlear nucleus,Ventral tegmental nucleus,Anterior tegmental nucleus,"""Substantia nigra, compact part""",Pedunculopontine nucleus,Midbrain raphe nuclei,Parabrachial nucleus,Superior olivary complex,Barrington's nucleus,Dorsal tegmental nucleus,Posterodorsal tegmental nucleus,Pontine central gray,Pontine gray,"""Pontine reticular nucleus, caudal part""",Supragenual nucleus,Supratrigeminal nucleus,Tegmental reticular nucleus,Motor nucleus of trigeminal,Laterodorsal tegmental nucleus,Nucleus incertus,Pontine reticular nucleus,Nucleus raphe pontis,Subceruleus nucleus,Sublaterodorsal nucleus
0,an001,202010_cfos,habituation,325,696,721,1016,84,312,542,2169,4756,145,266,406,1339,910,177,375,635,1186,265,336,60,641,12631,7590,644,7126,670,194,473,3,3,5955,41,231,90,0,101,0,73,139,0,532,125,24,9,39,11,17,202,17,57,91,201,231,11,32,10,36,65,81,0,57,29,166,29,21,306,7,53,0,0,0,3,300,587,8,0,1,866,512,10,46,338,478,0,0,31,10,11,0,230,0,0,3632,1265,920,144,10,19,9,6,0,284,977,676,110,4,3,0,48,199,0,0,110,127,64,59,27,734,5,14,23
1,an002,202010_cfos,habituation,154,650,360,765,41,393,120,2887,6019,196,446,679,1101,1394,154,254,667,1810,142,458,78,422,13033,6717,780,13596,598,127,256,7,2,4335,47,258,59,0,130,0,101,145,0,647,484,54,5,9,12,11,438,49,70,68,179,178,12,161,10,76,125,228,0,49,3,70,16,38,204,1,22,0,0,0,3,142,554,0,9,18,837,279,13,74,188,324,0,0,38,26,42,0,186,0,0,4067,1186,480,176,10,30,4,14,0,321,690,1021,173,9,6,1,69,370,0,0,86,56,150,74,22,783,7,58,28
2,an003,202010_cfos,habituation,206,1157,860,1179,105,456,402,1791,5955,154,413,809,1345,800,76,86,582,1326,183,538,179,733,15542,7030,966,10069,343,74,220,5,0,5262,52,346,91,0,212,0,87,236,0,398,181,54,9,35,17,35,304,20,19,76,195,214,23,77,12,141,45,214,0,56,83,78,25,72,213,4,23,0,0,0,7,189,1017,0,2,43,1493,390,113,138,576,605,0,0,62,27,39,0,248,0,0,3199,965,236,153,8,29,4,5,0,233,657,527,240,2,0,0,70,453,0,0,77,305,79,97,27,723,25,11,15
3,an004,202010_cfos,habituation,206,1400,592,952,117,594,349,3168,6667,249,570,608,1383,1231,152,233,698,1553,288,486,89,572,17044,9962,936,22850,1026,163,584,13,6,5862,319,525,134,0,190,0,142,323,3,420,201,59,77,44,26,39,329,39,363,188,243,571,124,174,126,77,270,399,0,44,40,142,29,32,285,4,42,0,0,0,0,198,684,0,19,15,1748,484,54,93,403,475,0,0,60,12,3,0,192,0,0,3944,1074,740,303,6,31,7,7,0,205,720,713,135,4,19,0,39,288,0,0,68,165,127,88,29,741,5,23,14
4,an005,202010_cfos,habituation,229,514,225,498,77,336,287,2291,3285,100,324,359,2643,768,195,417,955,841,81,232,143,369,8295,4897,533,11099,692,86,227,1,7,3963,89,176,55,0,159,0,28,35,0,130,102,3,12,1,0,0,104,1,19,24,16,48,1,6,14,26,32,185,0,11,30,65,11,36,113,1,15,0,0,0,11,160,123,0,0,1,415,313,9,19,235,152,0,0,12,4,61,0,43,0,0,743,259,414,9,0,42,0,2,0,170,232,285,255,1,4,0,41,216,0,0,72,87,129,57,14,455,18,11,37
5,an006,202010_cfos,habituation,827,554,495,891,81,571,227,4639,9899,400,373,670,1607,2254,403,427,1268,1572,147,575,84,257,13368,11033,308,20696,1150,115,676,44,7,6291,80,239,106,0,119,0,140,101,3,135,111,11,39,5,32,2,228,36,44,76,52,339,25,61,35,58,73,300,0,62,26,157,33,140,464,0,56,0,0,0,26,219,997,3,57,10,1170,216,471,67,1023,523,0,0,48,16,125,0,537,0,0,3765,247,491,256,10,1,3,6,0,313,1843,565,356,2,8,0,104,1344,0,0,52,168,168,93,23,1002,9,1,7
6,an007,202010_cfos,habituation,275,813,373,845,76,654,317,2780,5865,119,196,667,786,978,302,200,746,2092,125,533,130,570,14702,12440,494,19196,769,127,259,1,1,4271,108,409,91,0,226,0,101,355,0,817,162,64,17,39,19,32,327,21,14,255,208,232,17,92,2,71,77,313,0,55,28,212,67,21,566,1,100,0,0,0,7,157,867,0,39,44,1642,435,71,158,375,613,0,0,43,17,45,0,250,0,0,4232,1085,1134,134,23,9,10,11,0,483,564,573,143,6,21,5,101,159,0,0,85,118,182,109,70,944,35,16,37
7,an008,202010_cfos,habituation,421,425,242,891,13,363,235,1604,5438,103,147,324,846,669,160,242,467,2079,81,207,7,69,6694,13223,81,10701,378,97,396,14,2,3706,36,99,101,0,70,0,109,87,1,70,24,2,15,1,10,1,49,12,19,98,100,219,4,72,0,1,20,86,0,19,11,96,2,214,193,0,29,0,0,0,1,248,557,0,11,8,826,75,211,37,457,513,0,0,65,2,51,0,137,0,0,2263,160,659,47,9,0,4,31,0,141,529,258,306,0,6,0,9,513,0,0,23,25,30,7,5,321,1,0,2
8,an009,202010_cfos,habituation,160,380,267,367,21,269,50,2371,3526,190,59,259,649,754,165,230,476,1293,116,109,79,118,8398,6918,319,9407,698,48,453,34,6,2804,41,115,47,0,89,0,54,144,0,225,136,26,66,15,2,21,114,13,42,130,88,158,15,47,15,38,57,108,1,36,14,133,11,7,173,0,24,0,0,0,0,66,293,1,6,7,589,175,17,38,83,203,0,0,2,26,18,0,86,0,0,2615,754,687,87,6,31,14,10,0,186,308,295,15,10,8,0,14,43,0,0,79,136,64,20,7,385,6,1,0
9,an010,202010_cfos,habituation,164,953,382,547,64,689,292,1616,3802,143,190,461,840,945,136,232,1201,3388,74,376,139,396,11326,9026,508,7341,658,282,323,5,1,3783,27,141,85,0,91,0,101,308,0,514,180,22,24,22,20,21,86,16,36,110,84,110,21,87,50,77,30,193,0,32,140,60,13,28,242,5,53,0,0,0,29,84,513,1,33,40,1458,303,34,51,406,423,0,0,47,8,25,0,216,0,0,3104,1459,1022,138,0,11,2,0,0,424,404,429,52,1,0,0,11,123,0,0,122,117,99,21,0,823,0,27,11
